Modèle,Accuracy,Precision,Recall,F1,AUC
XGBoost,0.8966113416320886,0.8770545693622617,0.9225449515905948,0.8992248062015504,0.9626101670272742
LightGBM,0.8952282157676349,0.8737737083060824,0.9239280774550485,0.8981512605042017,0.9621366903309363
CatBoost,0.8931535269709544,0.8693957115009746,0.9253112033195021,0.8964824120603015,0.9601533490584988
Gradient Boosting,0.8990318118948825,0.8801054018445322,0.9239280774550485,0.9014844804318488,0.9585511804395775
Random Forest,0.8914246196403873,0.8689700130378096,0.9218533886583679,0.8946308724832215,0.9566654040621432
